split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,model_repo,model_code_commit,checkpoint,checkpoint_sha256,prompt,confidence_threshold,mask_threshold,processor_resolution,raw_mask_count,overlap_pixel_fraction,zero_prediction,gpu,peak_memory_mb,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,1779.657,27,0,0,0,27,0.0,0.0,0.0,0.0,0.0,-27,27
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,839.528,28,0,0,0,28,0.0,0.0,0.0,0.0,0.0,-28,28
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,841.689,76,0,0,0,76,0.0,0.0,0.0,0.0,0.0,-76,76
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,819.644,16,0,0,0,16,0.0,0.0,0.0,0.0,0.0,-16,16
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,832.464,23,0,0,0,23,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,828.761,12,0,0,0,12,0.0,0.0,0.0,0.0,0.0,-12,12
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,864.268,136,0,0,0,136,0.0,0.0,0.0,0.0,0.0,-136,136
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,837.172,27,0,0,0,27,0.0,0.0,0.0,0.0,0.0,-27,27
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,839.143,15,0,0,0,15,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,831.184,35,0,0,0,35,0.0,0.0,0.0,0.0,0.0,-35,35
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,820.961,18,0,0,0,18,0.0,0.0,0.0,0.0,0.0,-18,18
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,828.496,51,0,0,0,51,0.0,0.0,0.0,0.0,0.0,-51,51
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,825.346,26,0,0,0,26,0.0,0.0,0.0,0.0,0.0,-26,26
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,820.105,84,0,0,0,84,0.0,0.0,0.0,0.0,0.0,-84,84
stage1_train_clean20_subset,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,836.081,9,0,0,0,9,0.0,0.0,0.0,0.0,0.0,-9,9
stage1_train_clean20_subset,c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,827.485,32,0,0,0,32,0.0,0.0,0.0,0.0,0.0,-32,32
stage1_train_clean20_subset,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,823.365,22,0,0,0,22,0.0,0.0,0.0,0.0,0.0,-22,22
stage1_train_clean20_subset,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,851.592,130,0,0,0,130,0.0,0.0,0.0,0.0,0.0,-130,130
stage1_train_clean20_subset,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,862.98,199,0,0,0,199,0.0,0.0,0.0,0.0,0.0,-199,199
stage1_train_clean20_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,sam3_prompted_concept,"SAM3 (""nucleus"")",clean,{},0.5,facebook/sam3,46957e47805eaa273f4aa7bbbd25a88bca9108ce,model_assets/sam3/sam3.pt,9999e2341ceef5e136daa386eecb55cb414446a00ac2b55eb2dfd2f7c3cf8c9e,nucleus,0.5,0.5,1008,0,0.0,True,NVIDIA GeForce RTX 4060 Laptop GPU,3877.859,842.202,24,0,0,0,24,0.0,0.0,0.0,0.0,0.0,-24,24
